"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Tinea manus","pmb","Seorang laki-laki berusia 22 tahun datang dengan keluhan gatal pada tangan kiri sejak 1 minggu yang lalu. Dari pemeriksaan fisik didapatkan efloresensi makula eritematosa dengan peninggian/aktif pada bagian tepi pada telapak tangan disertai dengan hiperkeratosis pada telapak tangan. Apakah terapi pilihan pada kasus tersebut adalah?","","Terbinafin 2 %","Klotrimazole 2 %","Mikonazole 2 %","Griseofulvin","Itrakonazole","c"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Kerontokan Rambut (Effluvium)","pmb","Seorang Laki-laki berusia 32 tahun datang ke poliklinik dengan keluhan rambut rontok dan rapuh. Keluarga pasien tidak ada riwayat kebotakan. Sekarang pasien sedang menjalani pengobatan untuk kanker paru yang dideritanya sejak 3 tahun yang lalu. Pada pemeriksaan fisik didapatkan kebotakan pada seluruh kepala pasien. Apakah kemungkinan diagnosis pasien tersebut?","","Alopecia androgenik","Alopecia totalis","Alopecia universalis","Telogen effluvium","Anagen effluvium","e"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Tinea unguium (fingernails)","pmb","Pasien pria 25 tahun datang ke poliklinik dengan keluhan kedua kuku tangannya putih kekuningan dan rapuh sejak 2 minggu yang lalu. Pasien merupakan seorang penderita DM. Saat dilakukan pemeriksaan penunjang ditemukan kukunya ada hifa dan spora. Apakah tatalaksana obat pilihan utama yang diberikan pada pasien tersebut?","","Griseofulvin 12 minggu","Griseofulvin 6 minggu","Terbinafin 12 minggu","Itrakonazole 6 minggu","Terbinafin 6 minggu","e"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Psoriasis Vulgaris","pmb","Seorang laki-laki usia 38 tahun datang ke poli kulit dengan keluhan muncul bercak merah pada kedua siku dan lutut. Keluhan ini sudah pernah muncul beberapa bulan lalu dan cenderung timbul di tempat yang sama dan biasanya timbul bila pasien sedang menghadapi masalah. Pada pemeriksaan fisik didapatkan plak eritema tertutup skuama tebal dan saat skuama diangkat tampak bitnik-bitnik perdarahan. Apakah pemeriksaan yang sudah dilakukan dokter?","","Koebner sign","Karsvlek sign","Auspitz sign","Thomson test","Diaskopi test","c"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Tinea Kruris","pmb","Seorang pria usia 30 tahun datang ke poliklinik mengeluh gatal yang berawal dari lipat paha kanan dan kiri menjalar ke perut sejak 2 minggu yang lalu. Ruam kemerahan muncul awalnya dari selangkangan. Pasien sering memakai celana jeans atau berbahan tebal dan jarang mencucinya. Pada status lokalis regio abdomen dan genitokrural ditemukan lesi annular makula eritema dengan skuama bagian tengah, tepi meninggi aktif. Apakah diagnosis pada pasien ini?","","Tinea corporis","Eritrasma","Tinea inkognito","Tinea cruris","Candidiasis Intertriginosa","d"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Kerontokan Rambut (Effluvium)","pmb","Pasien Perempuan usia 25 tahun datang ke poliklinik dengan keluhan kerontokan rambut. Pasien seorang mahasiswa kedokteran yang akan menghadapi UKMPPD 2 bulan mendatang. Ujian tersebut membuat pasien sangat panik dan stress yang membuat pasien harus belajar setiap hari. Pada pemeriksaan Hair pull test (+). Apakah diagnosis pada pasien tersebut?","","Alopesia areata","Alopesia androgenik","Trikotilomania","Telogen effluvium","Anagen effluvium","d"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Staphylococcal Scalded Skin Syndrome","pmb","Seorang bayi laki-laki usia 2 hari yang dirawat di ruang perinatologi mengalami lepuh lepuh di kulit disertai demam, kulit kemerahan, dan tampak rewel. Pemeriksaan tanda vital didapatkan HR 160x/menit, RR 42x/menit, suhu aksila 38,5C. Pada pemeriksaan fisik didapatkan multiple patch eritema disertai bula yang tersebar generalisata, Nikolsky sign (+). Apakah diagnosis dari kasus tersebut?","","SSSS","SJS","TEN","Eritema Multiforme","Ictyosis Lamelar","a"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Hiperpigmentasi pasca inflamasi","pmb","Seorang wanita, 20 tahun, mahasiswi, datang ke RS dengan keluhan bercak hitam pada kedua lengan atas dan bawah sejak 3 bulan yang lalu. Dari anamnesis didapatkan bahwa 3 bulan yang lalu timbul bintik merah pada lengan kiri bawah yang kemudian berubah menjadi bercak hitam kecil. Tidak ada keluhan gatal atau baal. Tidak terdapat riwayat pemakaian obat topikal sebelumya. Apakah diagnosis pada passem diatas ?","","Albino","Vitiligo","Ptiriasis alba","Hipopigmentasi pasca inflamasi","Hiperpigmentasi pasca inflamasi","e"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Penicilin Procain 600.000 IU","pmb","Seorang perempuan berusia 54 tahun datang berobat ke poli keluhan tungkai bawah kiri merah dan bengkak sejak 5 hari yang lalu. Keluhan disertai demam tinggi sejak 3 hari terakhir. Pasien ada riwayat diabetes melitus dan rutin kontrol tiap bulan sejak 10 tahun yang lalu. Pada pemeriksaan fisik: regio kruris sinistra 1/3 distal didapatkan plak eritematous dengan batas tegas, nyeri dan panas pada perabaan. Apakah terapi pada pasien tersebut?","","Penicilin Procain 600.000 IU","Penicilin Benzatin 1,2 juta IU","Penicilin Benzatin 2,4 juta IU","Penicilin Procain 1,2 juta IU","Penicilin Benzatin 600.000 IU","a"
"kedokteran","Kulit Kelamin","Kulit Kelamin","SCC","pmb","Seorang pria 74 tahun datang ke dokter kulit dengan keluhan lesi di wajahnya. Pasien sebelumnya mengalami keratosis aktinik, yang sebelumnya diobati dengan krioterapi. Lesi tersebut tumbuh kembali setelah cryotherapy tahun lalu. Pada pemeriksaan Biopsi di temukan gamabran horn pearl appearance. Apakah faktor resiko yang pling penting pemicu keluhan di atas?","","Penuaan","Sun exposure","Imunokompromise","Merokok","Riwayat eksim","b"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Skrofuloderma","pmb","Laki-laki usia 27 tahun datang ke poli kulit kelamin mengeluh terdapat luka bernanah pada ketiak kanannya. Awalnya berbentuk benjolan seperti biji kacang hijau kemudian membesar dan menjadi luka. Pada pemeriksaan fisik terdapat nodul eritematous kebiruan (livide), diameter 2 cm, pada puncak terdapat ulkus berukuran tidak 0,5×0,3 cm, tepi tidak rata, terdapat pus dan jaringan nekrotik Penurunan berat badan +, demam -, batuk lama +. Diagnosis yang paling tepat adalah?","","Hidradenitis supuratif","Furunkel","Karbunkel","Skrofuloderma","Folikulitis","d"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Albinisme Okulokutanea","pmb","Seorang bayi lahir di rumah, dibawa ke puskesmas dengan keluhan kulit sekujur tubuhnya berwana putih. Rambut berwarna pirang. Pemeriksaan fisik tanda vital dalam batas normal. Pemeriksaan fisik regio generalisata depigmentasi, rambut alis dan rambut kepala berwarna pirang. Pigmen iris (-). Pengobatan apa yang harus diberikan kasus tersebut?","","Terapi Pigmen","Kortikosteroid","PUVA","Suncreen topikal","Hidrokuinon","d"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Pitiriasis Versikolor","pmb","Laki-laki 40 tahun datang ke puskesmas dengan keluhan muncul banyak bercak putih di punggung dan dadanya. Keluhan dirasakan sejak 2 minggu yang lalu. Pasien bekerja sebagai petani. Keluhan disertai gatal apabila pasien berkeringat. Pada pemeriksaan fisik didapatkan patch hipopigmentasi dengan skuama putih halus diatasnya. Apakah terapi yang tepat pada pasien?","","Klotrimazole 1%","Selenium sulfida shampo 5%","Terbinafin 1 %","Shampo ketokonazole 2 %","Mikonazole 2 %","d"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Hipopigmentasi pasca inflamasi","pmb","Seorang perempuan 22 tahun datang dengan keluhan bercak putih pada lengan bawahnya sejak 2 bulan yang lalu. Awalnya pasien sempat terjadi KLL yang menyebabkan lengan bawahnya luka. Dari pemeriksaan fisik didapatkan macula hipopigmentasi dengan ukuran 6x7 cm, batas tegas, asimetris dan tidak didapatkan skuama di atasnya. Apakah diagnosis pada kasus di atas?","","Albino","Vitiligo","Ptiriasis alba","Hipopigmentasi pasca inflamasi","Hiperpigmentasi pasca inflamasi","d"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Kista Epitel","pmb","Seorang laki-laki usia 42 tahun datang dengan keluhan adanya benjolan di daerah punggung yang mulai timbul sejak 2 bulan yang lalu. Pasien tidak ada riwayat sakit apapun sebelumnya. Dari pemeriksaan dermatologi didapatkan nodul dengan diameter 3 cm dengan batas tegas, sewarna dengan kulit dan lunak, mobile, serta terdapat punctum di tengahnya. Dari hasil biopsi didapatkan epitel skuamosa berlapis dengan stratum granular yang intak serta berisi debris keratin eosinofilik. Apa diagnosis pada kasus di atas?","","Squamous cell carcinoma","Kista epitel","Lipoma","Pilar cyst","Steatositoma","b"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Benzatin Penicillin G 2,4jt IU SD","pmb","Seorang laki-laki 26 tahun datang ke puskesmas dengan keluhan terdapat luka pada penis yang tidak nyeri di alami sejak sehari yang lalu, dari anamnesis pasien bekerja sebagai supir dan riwayat pernah berhubungan dengan tuna susila. Dari pemeriksaan fisik tampak luka pada batang penis, soliter, bersih dan tidak menggaung, apakah penatalaksanaan yang paling tept?","","BBPG 1,2jt IU SD","BBPG 2,4jt IU SD diberikan pada hari 1, 8, dan 15","Kanamysin 2 gram IM SD","Ceftriaxon IM 2,4 jt IU SD","BBPG 2,4 JT IU SD","e"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Keratosis seboroik","pmb","Laki-laki 74 tahun datang ke poli kulit dengan keluhan muncul benjolan-benjolan berwarna coklat kehitaman di beberapa bagian tubuhnya. Keluhan ini mulai muncul sejak pasien memasuki usia 60 tahun dan makin lama semakin banyak tetapi tidak nyeri. Dari pemeriksaan dermatologi didapatkan multiple papul hiperpigmentasi dengan permukaan hiperkeratosis, tersebar secara diskret di beberapa regio tubuh. Apa diagnosis yang paling mungkin untuk kasus di atas?","","Nevus pigmentosus","Keratosis seboroik","Melanoma maligna","Lentigo solaris","Freckle","b"
"kedokteran","Kulit Kelamin","Kulit Kelamin","ENL","pmb","Tn.P 44 tahun adalah seorang penderita lepra yang saat ini sedang menjalani pengobatan selama 7 bulan. Saat ini pasien datang ke Puskesmas untuk kontrol karena merasa timbul benjolan kemerahan yang nyeri di lengan, punggung dan paha disertai demam 38,9°C. Hasil pemeriksaan fisik ditemukan nodul, infiltrat multiple hiperemis di lengan dan punggung. Apakah terapi yang diberikan untuk pasien ?","","MDT + analgetik","MDT + prednison 40 mg","Hanya MDT","MDT + lampren 300 mg","Lampren 350 mg","b"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Melasma","pmb","Seorang pasien wanita, 38 tahun datang ke Poli Kulit dan Kelamin dengan keluhan bercak coklat di kedua pipi dan pelipis sejak 8 tahun sebelum datang ke rumah sakit. Awalnya, kelainan kulit berupa bintik–bintik coklat muda di kedua pipi yang kemudian melebar, bertambah banyak, dan warnanya semakin jelas. Ada riwayat penggunaan kontrasepsi suntik setiap 1 bulan selama 10 tahun, namun sudah berhenti sejak 3 tahun terakhir. Pasien tidak pernah mengkonsumsi obat-obatan. Pada regio kedua regio zygoma dan temporal (malar) didapatkan adanya patch hiperpigmentasi (coklat tua dan coklat muda), simetris, bentuk bulat dan sebagian irregular, batas tegas. Lampu wood menunjukkan batas macula-patch yang tegas. apakah diagnosis pada pasien di atas ?","","Melasma","SLE","Lentigo","Freckle","Hiperpigmentasi Pasca Inflamasi","a"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Eritrasma","pmb","Seorang wanita berusia 22 tahun datang dengan keluhan ruam merah kecoklatan pada daerah inguinal sejak 3 hari yang lalu. Tidak ada keluhan lain yang dirasakan pasien. Pasien menderita obesitas dan diabetes yang diterapi dengan metformin. Pada pemeriksaan Lampu wood ditemukan coral red (+). Apa terapi yang tepat diberikan pada pasien ini?","","Eritromisin 1 %","Benzoyl peroxide wash gel 5 %","Hidrokortison 0.5 %","Clotrimazole 1 %","Clindamycin 1 %","b"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Vitiligo","pmb","Seorang wanita berusia 45 tahun datang ke dokter kulit dengan keluhan ruam putih di badan. Dalam beberapa bulan terakhir dia sangat tertekan dengan masalah di tempat kerja, rumah, dan kematian baru-baru ini dalam keluarga. Muncul ruam putih menyebar dari tangannya ke lengan, wajah, dada, punggung, dan kakinya. Keluhan serupa pernah terjadi sebelumnya. Pada pemeriksaan fisik ditemukan lesi depigmentasi batas tegas. Pada pemeriksaan wood lamp tampa berpendar bright bluish-white appearance. Apakah diagnosis pada pasien tersebut?","","Albino","Vitiligo","Ptiriasis alba","Hipopigmentasi pasca inflamasi","Hiperpigmentasi pasca inflamasi","b"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Dermatitis Atopik","pmb","Seorang bayi usia 18 bulan dibawa ke dokter dengan keluhan gatal-gatal di area wajah terutama kedua pipi dan dahi sejak usia 6 bulan. Ibu pasien mengatakan keluhan tersebut sering kambuh-kambuhan. Riwayat kakak pasien mengalami asma dan ibu pasien menderita rhinitis alergi. Pemeriksaan tanda-tanda vital dalam batas normal. Bayi tersebut tampak rewel. Apakah terapi yang tepat diberikan untuk pasien ini?","","High-potent topical corticosteroid","Mid-potent topical corticosteroid","Low-potent topical corticosteroid","Salicylic acid talc","Ketoconazole cream topical","c"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Reaksi reversal","pmb","Tn P usia 40 tahun datang dengan ruam kemerahan yang semakin terlihat jelas dan meluas pada kedua lengan dan tungkai sejak 8 hari lalu. Pasien saat ini sedang tahap awal pengobatan MDT Kusta tipe BT. Pemeriksaan didapatkan eritema multipel disertai nyeri tekan, neuritis akut, dab pembesaran KGB. Diagnosis kasus tersebut ?","","Reaksi reversal","Reaksi upgrading dengan komplikasi","Reaksi eritema nodosum leprosum","Reaksi downgrading","Fenomena Lucio","a"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Dermatitis Kontak Alergika","pmb","Seorang wanita 25 tahun datang ke klinik dengan keluhan gatal di kedua tangannya. Pasien bekerja di salon selama 1 tahun. Pada pemeriksaan fisik didapatkan plak eritema yang berbatas tidak jelas disertai papul dan pustul diatasnya. Apakah patofisiologi yang mendasari keluhan pada pasien tersebut?","","Reaksi hipersensitivitas tipe 1","Reaksi hipersensitivitas tipe 2","Reaksi hipersensitivitas tipe 3","Reaksi hipersensitivitas tipe 4","Bukan reaksi hipersensitivitas","d"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Iktiosis vulgaris","pmb","Pasien bayi laki-laki usia 1 tahun, dibawa ibunya ke poliklinik dengan keluhan kulit kering dan bersisik di sekujur tubuh sejak 1 minggu lalu. Kulit kepala pasien juga sering terkelupas, sehingga pasien sering rewel. Area siku dan belakang lutut tidak bersisik. Pemeriksaan ttv dalam batas normal, pemeriksaan dermatologis: skuama generalisata, hiperkeratosis dan kontur kulit pada palmar manus menebal. Diagnosis yang tepat pada pasien:","","Iktiosis lamellar","Iktiosis vulgaris","Iktiosis Harlequin","Keratosis pilaris","Iktiosis x linked","b"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Eksema diskoid","pmb","Seorang wanita usia 50 tahun datang ke Puskesmas dengan keluhan beruntus merah di kulit yang terasa gatal. Keluhan ini sebelumnya sering muncul (kambuh kambuhan) terutama bila pasien sedang stress karena tinggal seorang diri. Pada hasil pemeriksaan fisik status lokalis region cruris sinistra ditemukan lesi berupa plak eritem, multipel, berbentuk koin dengan krusta madidans di atasnya. Apakah diagnosis kasus pasien tersebut ?","","Eksema diskoid","Ektima","Impetigo krustosa","Reaksi gigitan serangga","Staphylococus scalded skin syndrome","a"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Lupus Eritematosus Kulit","pmb","Wanita usia 26 tahun datang ke dokter dengan keluhan timbul bercak pada wajah sejak 4 tahun terakhir. Awalnya bercak berasal dari belakang telinga kemudian meluas ke wajah. Bercak dirasa sedikit gatal dan nyeri terutama saat terkena sinar matahari. Menyangkal demam dan riwayat pengobatan (-). Dari PF didapatkan kulit eritem disertai squama tipis di daerah malar. PP didapatkan LED 41; ANA tes (+) 88,39;anti ds-DNA (+) 151,11. Diagnosis?","","Lupus Eritematosus Sistemik","Lupus Eritematosus Kulit","Psoriasis Vulgaris","Limfoma Kulit","Granuloma Facialis","b"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Neurodermatitis sirkumskripta","pmb","Seorang laki-laki usia 45 tahun datang dengan keluhan gatal yang terasa sangat mengganggu. Keluhan dirasakan sering berulang sejak 2 tahun terakhir. Dari pemeriksaan fisik didapatkan likenifikasi multiple dengan ukuran lentikular hingga plakat dengan skuama dan ekskoriasi di kedua kakinya. Apakah kemungkinan diagnosis pada pasien ini?","","Liken planus","Dermatitis atopic","Psoriasis vulgaris","Discoid eczema","Neurodermatitis sirkumskripta","e"
"kedokteran","Kulit Kelamin","Kulit Kelamin","TEN","pmb","Perempuan 25 tahun dirujuk ke IGD RS dengan lepuh hampir di seluruh tubuh. Sebelumnya pasien merasa sakit kepala dan sudah mengonsumsi obat yang dibeli sendiri di apotik. Pasien sekarang berada di unit gawat darurat, kesadaran baik, tekanan darah normal, suhu 38oC. Pemeriksaan kulit generalisata vesikel dan bula, erosi dan ekskoriasi pada bibir dan genitalia, BSA 36%, pada mata didapatkan kemerahan dan belekan. Tes nikolsky (+). Diagnosis yang paling mungkin pada kasus ini adalah?","","Erupsi obat morbiliformis","Impetigo vesikolbulosa","TEN","Staphylococcus scalded skin syndrome","Aacute Generalized Exxanthematous Pustulosis","c"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Napkin rash","pmb","Bayi berusia 6 bulan datang ke dokter dibawa ibunya dengan keluhan bercak kemerahan di selakangan bekas popok. Sebelumnya bayi diare namun sudah sembuh. Pada pemeriksaan fisik ditemukan bayi tenang, tanda-tanda vital dalam batas normal. Tampak makula dan patch eritema pada bagian sekitar anus tanpa disertai adanya lesi satelit. Apa tatalaksana yang tepat pada pasien ini ?","","Zinc oxide cream","Salep gentamisin 0,1 %","Salep miconazole 2 %","Lotio calamin","Bedak salisil 2%","a"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Reaksi hipersensitisivitas tipe lambat","pmb","Seorang anak diantar oleh ibunya dengan keluhan gatal di badan sejak 1 jam lalu. Mata merah (+) sariawan (+) Pemeriksaan TTV dalam batas normal, pemeriksaan dermatologis: tampak muncul bula multipel pada badan serta terdapat krusta. Pasien sebelumnya mengonsumsi Paracetamol. Bagaimanakah patogenesis kasus di atas ?","","Reaksi hipersensitisivitas tipe cepat","Reaksi hipersensitisivitas sitotoksik","Reaksi hipersensitisivitas tipe lambat","Reaksi idiosinkrasi","Ag-Ab kompleks","c"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Dermatitis Stasis","pmb","Seorang wanita usia 49 tahun, koki restaurant cepat saji datang ke RS dengan keluhan bercak merah kebiruan pada kaki kanan dan kiri. Bercak makin lama makin melebar, serta bertambah nyeri jika berdiri terlalu lama dan disertai munculnya bengkak pada kedua kaki sehingga varises yang telah lama menjadi tampak menonjol. Apakah diagnosis kasus tersebut ?","","Dermatitis Numularis","Liken Simplex Kronis","Dermatitis Seboroik","Dermatitis Stasis","Dermatitis Atopi","d"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Exanthema drug eruption","pmb","Seorang pria berusia 45 tahun datang ke Poliklinik dengan keluhan bitnik-bintik kemerahan di kepala, dada, punggung, perut, tangan dan kaki sejak 3 hari sebelumnya. Keluhan disertai rasa gatal di seluruh tubuh. Seminggu sebelumnya pasien mengeluhkan terdapat bintik di kaki yang terasa gatal, pasien menggaruknya dan bintik semakin melebar sebesar koin. Dua hari kemudian, pasien berobat ke puskesmas dan diberikan obat Thiamphenicol serta salep yang tidak diberikan informasi isinya. Setelah itu keluhan muncul 3 hari kemudian. Pada pemeriksaan fisik ditemukan efloresensi maculopapular, multipel, beberapa konfluens dan tersebar generalisata. Apakah diagnosis pada pasien ini ?","","SJS","Eritroderma","Exanthema drug eruption","DKA","Dermatitis Seboroik","c"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Urtikaria akut","pmb","Seorang wanita membawa anaknya yang berusia 13 tahun datang ke poli kulit dengan keluhan biduran sejak 1 hari yang lalu, setelah makan ikan asin. Satu bulan lalu, sudah pernah mengalami keluhan yang sama setelah makan udang. Sebelum itu, tidak pernah ada keluhan. Bercak terdapat di badan, tangan, dan kaki pasien. Pasien sebelumnya Pemeriksaan fisik TTV 120/80, Nadi 76x/mnt, RR 20x/mnt, suhu 37C. Efloresensi plak eritematosa multipel ø 4-5 cm, batas tepi tegas, di brachii-antebrachii dekstra-sinistra, trunkus superior. Diagnosis yang paling tepat pada pasien adalah:","","Angioedema","Urtikaria akut","Urtikaria kronis","Reaksi profilaktik","Reaksi anafilaktik","b"
