"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","THT-KL","THT-KL","Epistaxis posterior","pmb","Pasien usia 60 tahun datang dengan keluhan mimisan profuse sejak 2 jam yang lalu sebanyak 2 gelas aqua, mimisan muncul tiba2, darah juga mengalir di tenggorokan, HT +. Arteri apa yang ruptur?","","arteri palatine major","arteri sfenopalatina","arteri ethmoid anterior","arteri labialis superior","arteri radialis","B"
"kedokteran","THT-KL","THT-KL","Epistaxis","pmb","Tindakan apa yang harus dilakukan untuk pasien di atas?","","Tampon anterior","Tampon bellocq","Pasang kasa di cavum nasi","Tampon anterior dan posterior","Berikan asam traneksamat","B"
"kedokteran","THT-KL","THT-KL","Angiofibroma nasofaring juvenile","pmb","Seorang laki-laki berusia 17 tahun datang ke praktek dokter umum dengan keluhan mimisan massif dan sering berulang sejak usia 13 tahun. Keluhan disertai hidung tersumbat. Pada pemeriksaan rinoskopi posterior didapatkan massa tumor lunak, konsistensi kenyal, warna putih keabu-abuan. Pada pemeriksaan radiologi diperoleh massa jaringan lunak pada nasofaring yang menonjol pada rongga hidung. Diagnosanya adalah","","Ca tonsil","Polip nasi","Antrokoanal polip","Ca nasofaring","Angiofibroma nasofaring juvenile","E"
"kedokteran","THT-KL","THT-KL","Tonsilitis Kronis","pmb","Seorang laki-laki usia 26 th datang ke puskesmas dengan keluhan nyeri saat menelan sejak 4 hari yang lalu.Nyeri disertai demam. Pemeriksaan temp axilla 37.8oC, tanda vital yang lain dalam batas normal. Pemeriksaan fisik faring tampak tonsil membengkak T3-T3 dan hiperemis dan kripte yang melebar. Apa diagnosis pasien ini?","","Faringitis akut","Tonsilitis kronis","Tonsilitis akut","Faringitis kronis eksaserbasi akut","Tonsilitis kronis eksaserbasi akut","B"
"kedokteran","THT-KL","THT-KL","Tonsilitis difteri","pmb","Seorang anak 7 tahun datang dengan keluhan nyeri tenggorok, mulut bau, nyeri telan sejak 2 hari ini. Pemeriksaan fisik didapatkan: kesadaran compos mentis, suhu 38oC. keluhan disertai sesak nafas. Tonsil T3-T3 hiperemi dengan membran putih yang berdarah saat dilepas. Diagnosis pasien diatas adalah?","","Tonsilitis akut","Tonsilitis difteri","Abses peritonsil","Abses retrofaring","Faringitis difteri","B"
"kedokteran","THT-KL","THT-KL","Abses retrofaring","pmb","Seorang bayi usia 7 bulan dibawa orang tuanya ke puskesmas dengan keluhan demam 2 hari. Keluhan disertai sesak napas. Terdapat riwayat ISPA 1 minggu sebelumnya. Pemeriksaan tanda vital RR 34x/menit, N 120x/menit, suhu 38C. Pemeriksaan fisik didapatkan faring hiperemis dan menonjol, dilakukan pungsi hasil pus. Diagnosis pasien?","","Tonsilofaringitis","Abses peritonsil","Abses parafaring","Abses retrofaring","Faringitis","D"
"kedokteran","THT-KL","THT-KL","Obstructive sleep apnea","pmb","Anak usia 12 tahun dibawa oleh ibu ke puskesmas karena sering mengorok saat tidur dan sering terbangun saat tidur. Pasien sering mengantuk saat di sekolah. Tanda tanda vital dalam batas normal.pada pemeriksaan ditemui tonsil t1-t1 dan kelas mallampati 3. Diagnosis yang mungkin?","","Obstructive sleep apnea","Nightmare","Sumbatan jalan nafas atas","Tonsilitis","Faringitis","A"
"kedokteran","THT-KL","THT-KL","Angina ludwig","pmb","Pria usia 25thn datang dengan keluhan bengkak di rahang bawah. Pasien riwayat sakit gigi bawah tidak diobati sejak 5 thn lalu. Pemeriksaan fisik: suhu 38,5oC, RR 30x/m, bengkak ekstraoral submandibular kanan teraba keras. Diagnosis yang paling mungkin?","","Angina ludwig","Angina pectoris","Abses submandibular","Absessubmental","Abses peritonsilar","A"
"kedokteran","THT-KL","THT-KL","Epiglotitis akut","pmb","Anak 5thn datang dengan keluhan sesak dan tidak mau makan sejak 2 hari ini. Anak tampak lemas dan sesekali memegang lehernya. Pemeriksaan fisik didapati demam 38oC, tanda vital lain dalam batas normal. Pemeriksaan tenggorok sulit dilakukan pasien tidak kooperatif. Pada foto rontgen leher didapati thumb sign. Diagnosis yang paling mungkin?","","Tumor laring","Abses submandibula","Epiglotitis akut","Corpus alienum tenggorok","Faringitis akut","C"
"kedokteran","THT-KL","THT-KL","Obstructive sleep apnea e.c hipertrofi adenoid","pmb","Seorang anak laki-laki berumur 8 tahun datang ke Puskesmas karena orangtuanya mengeluh anak sering ngorok dan terbangun saat tidur. Anak juga sering panas dan batuk pilek hampir setiap bulan dalam tahun terakhir. Pada pemeriksaan fisik didapatkan keadaan umum baik, tampak anak sering bernafas dari mulut, Vital sign dalam batas normal. Pemeriksaan orofaring didapatkan kedua tonsil hipertrofi, detritus positif, limfonodi submandibula membesar. Tonsil dapat menjadi fokal infeksi dari peradangan organ lain yang jauh dari tonsil diketahui dengan pemeriksaan:","","Biopsi tonsil","Pemeriksaan darah tepi","Swab kultur tonsil","Pemeriksaan immunoglobulin","Foto rontgen skull AP/Lateral","E"
"kedokteran","THT-KL","THT-KL","Tonsilitis Akut","pmb","Seorang laki-laki usia 7 th datang ke puskesmas dibawa ibunya dengan keluhan nyeri saat menelan sejak 3 hari yang lalu. Nyeri disertai demam. Pemeriksaan temp axilla 37.8oC, tanda vital yang lain dalam batas normal. Pemeriksaan fisik faring tampak tonsil membengkak T3-T3 dan hiperemis. Kuman penyebab paling sering adalah?","","S. pyogens","S. pneumonia","S. beta hemoilitikus","S. aureus","S. viridans","C"
"kedokteran","THT-KL","THT-KL","Laringomalasia","pmb","Bayi perempuan 1bln, ke UGD sesak napas sejak 3hr yll, stridor saat inspirasi dan retraksi ringan di suprasternal. sesak berkurang bila penderita tidur miring atau memakai bantal. Tidak ada febris, tidak disertai gangguan makan/minum. pemeriksaan radiologis soft tissue leher memperlihatkan penyempitan di daerah laring. keluhan seperti ini dirasakan sejak 2 bulan yll tetapi sembuh sendiri. Diagnosis?","","Laringotrakeitis akut","Nodul laring","Tumor laring","Laringomalasia","Benda asing laring","D"
"kedokteran","THT-KL","THT-KL","Laringomalasia","pmb","Pemeriksaan penunjang untuk kasus di atas adalah:","","Laringoskopi","Foto rontgen kepala dan leher","Pemeriksaan darah lengkap","Nasoendoskopi","Rontgen dada AP/lateral","A"
"kedokteran","THT-KL","THT-KL","Rhinitis alergi","pmb","Seorang perempuan usia 23 tahun sering bersin pagi hari dan saat membuka tumpukan buku. Perempuan ini sering menggosok-gosok hidungnya hingga terbentuk garis di dorsum nasi. Disebut apakah tanda yang terbentuk di dorsum nasi tersebut?","","Allergic shiners","Allergic crease","Allergic salute","Kerley B lines","Post nasal drips","B"
"kedokteran","THT-KL","THT-KL","Rhinitis alergi","pmb","Perempuan, 24 tahun datang dengan keluhan, hidung tersumbat tiap pagi hari dan malam hari dan setelah terkena debu. Pemeriksaan fisik didapatkan sekret serous +/+, konka livid +/+ , hiperemia -/-. Pemeriksaan penunjang untuk menegakkan diagnosa?","","Tes provokasi","Tes cukit kulit","Tes darah","Tes sensitisasi","Ig E","A"
"kedokteran","THT-KL","THT-KL","Rhinitis alergi","pmb","Seorang pria 19 tahun datang dengan keluhan penurunan penghidu sejak 3 bulan yang lalu. Kakak pasien selalu mencium bau yang tidak enak jika berada di dekat pasien tapi pasien selalu menyangkal. Pada PF didapatkan cavum nasi tampak longgar disertai krusta kehijauan, tes penghidu didapatkan hiposmia. Apa diagnosis yang tepat?","","Sinusitis maxilaris","Ca nasofaring","Angiofibroma","Rhinitis atrofikans","Trauma saraf penghidu","D"
"kedokteran","THT-KL","THT-KL","Sinusitis ethmoidalis","pmb","Seorang pasien usia 40 tahun datang ke dokter dengan keluhan pilek berbau sejak 2 bulan yang lalu. Keluhan ini disertai dengan pusing dan rasa nyeri di antara kedua mata. Dari pemeriksaan fisik ditemukan nyeri tekan (+) di pangkal hidung, dari rinoskopi anterior ditemukan sekret mukopurulen di meatus media. Kira-kira komplikasi apa yang ditakutkan akan menyerang organ sekitar?","","Abses subperiosteal","Abses brain","Meningitis","Abses epidural","Absessubdural","A"
"kedokteran","THT-KL","THT-KL","Otitis eksterna sirkumskripta","pmb","Seorang laki-laki usia 23 tahun datang dg keluhan nyeri telinga sejak 1 hari ini. Pemeriksaan fisik nyeri tarik aurikula (+) dan tampak massa dengan puncta di dekat lubang telinga. Diagnosis pasien ini?","","Mastoiditis","Otitis eksterna sirkumskripta","Otitis eksterna difus","Otitis media akut","Otomikosis","B"
"kedokteran","THT-KL","THT-KL","Otitis media efusi","pmb","Pasien anak usia 10 tahun mengeluh penurunan pendengaran dan telinga terasa penuh. Pasien pernah didiagnosa menderita asma. Pemeriksaan membran timpani suram dan tampak bentukan gelembung udara. Diagnosis?","","Otitis media akut stadium supuratif","Otitis media supuratif kronis","Otitis media akut","Otitis adhesif","Otitis media efusi","E"
"kedokteran","THT-KL","THT-KL","OMSK tipe aman","pmb","Perempuan usia 27 tahun riwayat keluar cairan dari telinga sejak 3 bulan yang lalu. Pemeriksaan fisik tampak cairan mukopurulen dan perforasi sentral. Diagnosisnya?","","OMSK tipe bahaya","OMSK tipe aman","otitis media efusi","otitis eksterna maligna","otitis media akut stadium perforasi","B"
"kedokteran","THT-KL","THT-KL","Otitis media akut stadium supurasi","pmb","Pasien berumur 12 thn dtg dengan keluhan nyeri telinga kanan dan kiri. Sebelum nya ada keluhan batuk pilek dan demam sejak 2 hari yang lalu, belum diobati. Pada pemeriksaan otoskop ditemukan (gambar). Apakah kemungkinan diagnosis?","","Otitis media stadium hiperemis","Otitis media stadium okklusi","Otitis media perforasi","Otitis media resolusi","Otitis media akut stadium supurasi","E"
"kedokteran","THT-KL","THT-KL","Ramsay Hunt Syndrome","pmb","Seorang perempuan 38 th datang ke poli mengeluh nyeri pada telinga kanan disertai bintil berisi cairan. Bintil menyebar sampai ke belakang telinga. Keluhan disertai telinga berdenging. Pasien memiliki riwayat cacar saat kecil. Status lokalis vesikel dgn dasar eritem di pipi kanan, preaurikular, meatus akustikus externum kanan, retroaurikular. Diagnosis pasien ini adalah...","","Ensefalitis","Mastoiditis","Ramsay Hunt Syndrome","Tuli konduktif","Meningitis","C"
"kedokteran","THT-KL","THT-KL","OMSK tipe bahaya","pmb","Perempuan usia 25 tahun mengeluhkan telinga kiri keluar cairan sejak 1 tahun lalu. 3 bulan ini mengeluh pusing berputar dan tidak bisa merasakan manis/asin. Pemeriksaan otoskopi tampak perforasi membran timpani. Pada pemeriksaan garpu tala didapatkan tuli konduksi. DIagnosa yang paling mungkin adalah?","","OMSK tipe bahaya","OMSK tipe aman","OMA","Otitis Eksterna Difusa","Otitis Eksterna maligna","A"
"kedokteran","THT-KL","THT-KL","OMSK tipe bahaya","pmb","Komplikasi yang muncul pada pasien di atas adalah?","","Labirinitis dan Parese N VII","Komplikasi intrakranial","Abses Bezold","Abses submandibula","peningkatan intracranial","A"
"kedokteran","THT-KL","THT-KL","Otitis eksterna","pmb","Laki-laki 70 tahun, DM tipe 2, datang dengan keluhan nyeri telinga kiri sejak 3 hari ini. Pemeriksaan fisik Temp = 38°C, pinna dan kanal auditori eksterna radang dan edema. MT sulit dievaluasi. Organisme yang mungkin sebagai penyebab?","","Pseudomonas aeruginosa","Streptokokus viridans","Stafilokokus aerus","Streptokokus penumonia","Moraxella catarhalis","A"
"kedokteran","THT-KL","THT-KL","Foreign body ear","pmb","Seorang anak datang dengan keluhan telinga yang gatal dan sakit hilang timbul sejak 1 hari yang lalu. Keluhan dirasakan seperti ada yang bergerak di dalam telinga. Pemeriksaan tampak serangga yang masih hidup. Apa tatalaksana yang harusnya dilakukan?","","Langsung melakukan ekstraksi serangga","Membius umum pasien dan melakukan ekstraksi","Menggunakan antibiotik dan membiarkan serangga mati sendiri, baru melakukan ekstraksi","Menggunakan analgesik lokal pada telinga, lalu melakukan ekstraksi","Menggunakan analgesik oral, lalu melakukan ekstraksi","D"
"kedokteran","THT-KL","THT-KL","Hematoma aurikula","pmb","Seorang laki-laki berusia 31 tahun datang ke IGD dengan keluhan nyeri telinga kanan. Pasien adalah seorang petinju dan baru selesai bertanding. Tidak ada keluhan nyeri kepala dan gangguan mengunyah. TTV dalam batas normal. Status lokalis telinga kanan: aurikula edema fluktuatif, tidak terdapat krepitasi, tidak ada sekret atau darah dari traktus auditorius. Apakah diagnosis pada pasien ini?","","Fraktur temporomandibular","Ruptur bursa temporomandibular","Hematoma aurikula","Hematoma periaurikular","Abses aurikula","C"
"kedokteran","THT-KL","THT-KL","Otitis eksterna difusa","pmb","Laki-laki usia 34th, merasakan nyeri telinga kanan dan pendengaran berkurang sejak 2 hari yg lalu setelah dikorek dengan cotton bud, pasien demam 1 hari ini, keluar cairan dari telinga kekuningan, dari pemeriksaan fisik didapatkan canalis acusticus edema, nyeri tarik pinna. Diagnosisnya adalah?","","OE difusa","OE sirkumskripta","OME","Miringitis bulosa","Oma fase supurasi","A"
"kedokteran","THT-KL","THT-KL","Tuli konduksi akibat perforasi MT","pmb","Laki-laki usia 30 tahun datang dengan keluhan telinga kanan kiri keluar cairan sejak 3 bulan lalu. Pada pemeriksaan fisik didapatkan MT kanan perforasi subtotal dan kiri perforasi sentral ukuran 20%. Bila dilakukan tes garpu tala, didapatkan hasil?","","Swabach kiri memendek","rinne telinga kanan positif","air conduction telinga kanan normal","weber lateralisasi ke kanan","swabach kanan memendek","D"
"kedokteran","THT-KL","THT-KL","Tuli sensorineural","pmb","Seorang wanita usia 40 tahun datang dengan keluhan penurunan pendengaran kanan kiri. Pasien merupakan buruh pabrik yang terbiasa mendengar suara mesin. Pada pemeriksaan fisik tampak liang telinga tidak edema dan MT normal. Bila dilakukan tes audiometri, hasil yang akan didapatkan adalah?","","penurunan paling parah pada frekuensi 2000 Hz","penurunan pada air conduction, bone conduction normal","penurunan pada air dan bone disertai gap","notch pada 4000 Hz","audiometri dalam batas normal","D"
"kedokteran","THT-KL","THT-KL","Tuli campuran","pmb","Laki-laki usia 50 tahun datang dengan keluhan penurunan pendengaran kanan. Pada pemeriksaan garpu tala didapatkan hasil swabach kanan memendek dan weber lateralisasi ke kanan. Apakah diagnosa pasien?","","tuli sensorineural kanan","tuli konduksi kanan kiri","tuli konduksi kanan","tuli campuran","tuli sensorineural kanan kiri","D"
"kedokteran","THT-KL","THT-KL","Tuli konduktif e.c otitis media akut","pmb","Wanita usia 25 tahun mengeluh telinga kiri nyeri dan penurunan pendengaran sejak 3 hari ini. Sebelumnya pasien mengeluh batuk dan pilek dengan ingus hijau kental. Pada pemeriksaan fisik tampak MT kanan normal, kiri tampak menonjol dan hiperemi. Bila dilakukan tes garpu tala, bagaimanakah hasilnya?","","swabach kiri memanjang","rinne kiri positif","swabach kiri memendek","tes batas atas turun","webber tidak ada lateralisasi","A"
"kedokteran","THT-KL","THT-KL","Vertigo (BPPV)","pmb","Wanita usia 30 tahun datang dengan keluhan pusing berputar sejak 1 minggu ini. Pusing dirasakan terutama setelah perubahan posisi dari tidur kanan ke kiri. Sebelumnya tidak pernah merasakan keluhan serupa. Pendengaran tidak ada keluhan. Penegakkan diagnosa pada pasien ini menggunakan?","","audiometri","Tes Romberg","Tes kalori","Tes Dix-Hallpike","timpanometri","D"
"kedokteran","THT-KL","THT-KL","Penyakit meniere","pmb","Laki-laki usia 29 tahun mengeluh telinga kiri berdenging sejak 3 hari ini sehingga pendengaran kiri berkurang. Pasien pernah mengalami keluhan serupa 3 bulan lalu disertai pusing berputar. Riwayat trauma (-) telinga keluar cairan (-). Bila dilakukan tes garpu tala, apakah hasil yang akan didapatkan?","","rinne kedua telinga negatif","swabach kedua telinga memanjang","webber tidak ada lateralisasi","swabach telinga kirimemendek","rinne kanan positif kiri negatif","D"
"kedokteran","THT-KL","THT-KL","Infected pre-auricular sinus dengan abses preaurikula","pmb","Bayi usia 7 bulan datang dengan keluhan telinga kanan sakit 3 hari ini. Keluhan serupa dialami 3 bulan lalu. Pada pemeriksaan fisik didapati demam 38C, tanda vital lain dalam batas normal. Tampak lubang kecil di depan telinga kanan disertai edema, hiperemi, dan fluktuatif. Diagnosa pasien ini adalah?","","OE sirkumskripta","OE maligna","Abses preaurikula","Abses aurikula","OMSK tipe maligna","C"
"kedokteran","THT-KL","THT-KL","Impaksi Serumen","pmb","Pria 20 tahun mengeluh telinga kanan terasa nyeri telinga 1 hari lalu. pasien riwayat sering korek2 telinga dengan cotton bud karena telinga terasa penuh, keluhan disertai penurunan pendengaran. Pada pemeriksaan fisik tampak massa kecoklatan memenuhi 2/3 medial liang telinga, membran timpani sulit dievaluasi. Terapi pada kasus ini adalah?","","antibiotik dan antinyeri","antibotik tetes telinga","tetesi anastesi lokal di telinga","ekstraksi serumen","berikan NSAID","D"
"kedokteran","THT-KL","THT-KL","Tuli konduktif telinga kanan","pmb","Seorang anak datang dengan keluhan penurunan pendengaran pada telinga kanan. Dari pemeriksaan otoskop didapatkan adanya serumen obturans, dan hasil tes rinne telinga kanan negatif. Pasien didiagnosis tuli konduktif. Apa yang diharapakan pada pemeriksaan tes weber....","","Lateralisasi ketelinga kanan","Lateralisasi ketelinga kiri","Lateralisasi ketelinga kanan dan kiri","Memanjang","Memendek","A"
"kedokteran","THT-KL","THT-KL","Obstructive sleep apnea","pmb","Anak laki2, 6 tahun berobat ke klinik dengan keluhan tidur ngorok, sering terbangun malam hari karena sesak. Keluhan disertai keluhan hidung tersumbat. Riwayat infeksi saluran napas berulang 2 tahun lalu. Diagnosis?","","Tonsilitis akut","Tonsilitis kronik","Obstruktif sleep apneu","Angina","Rhinosinusitis akut","C"
"kedokteran","THT-KL","THT-KL","Tuli konduktif telinga kiri","pmb","Pemeriksaan garpu tala, Telinga kiri didapatkan Rinne negatif, Weber lateralisasi ke telinga kiri, Swabach telinga kiri memanjang. Diagnosisnya?","","Tuli konduktif telinga kiri","Tuli perspektif telinga kiri","Tuli konduktif telinga kanan","Tuli perspektif telinga kanan","Tuli campuran telinga kiri","A"
"kedokteran","THT-KL","THT-KL","Corpus alienum hidung","pmb","Seorang ibu membawa anaknya yang berusia 7 tahun ke dokter THT karena hidung anak sebelah kanan berbau busuk disertai keluar cairan kental seperti ingus keluhan ini dirasakan sudah seminggu. Dari pemeriksaan didapatkan cavum nasi dextra tampak hiperemis dan terlihat sekret mukopurulen. Cavum nasi sinistra dalam batas normal. Apakah kira-kira yangmenyebebkan keluhan di atas...","","Cavum dextra sempit","Angiofibroma nasofaring juvenile","Tonsillitis kronis","Adenoma Nasofaring","Corpus alienum","E"
