"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","Komprehensif","","","pmb","Seorang perempuan berusia 39 tahun datang dengan keluhan adanya benjolan pada punggung bagian atas. Pasien mengatakan benjolan muncul sejak 6 bulan yang lalu dan dikatakan tidak bertambah besar. Pada pemeriksaan didapatkan massa sewarna kulit, berukuran 5 cm, konsistensi kenyal. Mobile dan slippage sign (+). Apakah diagnosis pada kasus di atas?","","Kista ganglion","Ateroma","Lipoma","Limfoma","Kista baker","C"
"kedokteran","Komprehensif","","","pmb","Seorang perempuan berusia 29 tahun datang ke IGD dibawa keluarganya dengan keluhan nyeri perut kanan bawah sejak 1 hari yang lalu. Sebelumnya pasien mengeluhkan nyeri disekitar pusat dan kemudian pindah ke kanan bawah. Keluhan disertai dengan demam dan mual serta muntah. Pemeriksaan tanda vital TD 130/80, HR 100x, RR 20, suhu 38.5. Dari pemeriksaan fisik ditemukan nyeri tekan pada titik Mc Burney (+), rebound tenderness (+), rovsing sign (+). Apakah diagnosis pada kasus di atas?","","Appendisitis","Pielonefritis","Sistitis","Pankreatitis","Kolangitis","A"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 20 tahun datang ke IGD dengan keluhan nyeri pada daerah bahu kiri yang dirasakan 30 menit yang lalu. Pasien mengatakan keluhan terjadi setelah terjatuh dari sepeda motor dan bahu pasien mengenai aspal terlebih dulu. Pasien sulit menggerakkan tangan kirinya. Pada pemeriksaan X-Ray didapatkan fraktur incomplete pada 1/3 media os clavicula sinistra. Apakah tatalaksana awal pada pasien di atas?","","Bebat tekan","Collar neck","Figure of eight","Bidai","ORIF","C"
"kedokteran","Komprehensif","","","pmb","Seorang bayi perempuan berusia 13 bulan dibawa ke poliklinik dengan keluhan lingkar kepala anak tampak besar dan tidak sesuai dengan ukuran wajahnya. Ibu pasien mengatakan keluhan ini diamati semakin membesar dari lahir. Pada pemeriksaan ubun-ubun besar tampak menonjol dan tampak sunset eye phenomenon (+), margin pupil inferior tertutupi kelopak mata bawah. Apakah diagnosis yang tepat pada pasien di atas?","","Mikrocephalus","Hidrocephalus","Tumor cerebris","Caput succadenum","Marasmus","B"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 30 tahun datang ke IGD setelah mengalami cedera saat bertanding senam lantai. Pasien terjatuh setelah melompat tinggi. Pasien mengatakan nyeri pada belakang tumit. Pada pemeriksaan tanda vital dalam batas normal. Pemeriksaan thompson test (+). Apakah diagnosis yang tepat pada pasien di atas?","","Ruptur meniscus","Ankle spain","Ruptur ACL","Tarsal tunnel syndrome","Ruptur tendon achiles","E"
"kedokteran","Komprehensif","","","pmb","Seorang anak laki-laki berusia 3 hari dibawa ke IGD dengan keluhan perut terlihat membesar. Keluhan ini terlihat sejak anak baru lahir dan semakin membesar. Diketahui BAB pertama anak pada usia 2 hari. Keluhan disertai dengan muntah yang berwarna hijau. Anak tampak lemas dan kurang aktif. Persalinan dibantu oleh bidan, usia kehamilan cukup bulan dan tidak didapatkan kelainan. Pada pemeriksaan fisik didapatkan distensi abdomen, tampak mengilap, bising usus meningkat. Dokter rencana akan melakukan pemeriksaan barium enema. Dimanakah lokasi tersering pada kasus di atas?","","Ileum","Colon ascenden","Colon descenden","Colon transversum","Rectosigmoid","E"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 37 tahun dibawa ke IGD dengan keluhan nyeri perut yang dirasakan 1 hari yang lalu. Keluhan nyeri perut awalnya dirasakan pada daerah perut kanan bawah sekitar 3 hari lalu, dan pasien mendatangi tukang urut untuk mengatasi nyeri perut tersebut. Keluhan nyeri saat ini dirasakan sangat berat. Pasien belum BAB sejak 2 hari terakhir. Pada pemeriksaan tanda vital TD 90/60 mmHg, HR 110x/menit, RR 24x/menit, suhu 38.3 C, VAS 7. Pada pemeriksaan palpasi abdomen didapatkan perut seperti papan dan nyeri tekan pada seluruh lapang abdomen. Apakah diagnosis yang tepat pada kasus di atas?","","Peritonitis ec perforasi colon sigmoid","Peritonitis ec perforasi gaster","Peritonitis ec perforasi ileum","Peritonitis ec perforasi appendix","Peritonitis ec infeksi TB","D"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 48 tahun datang ke poliklinik dengan keluhan buang air besar kadang bercampur darah dan juga nyeri. Keluhan dirasakan sejak 5 bulan yang lalu dan memberat dalam 5 hari terakhir. Pasien merasa saat buang air besar ada benjolan yang ikut keluar dan dapat masuk kembali. Namun saat ini benjolan menetap, tidak dapat masuk meskipun didorong dengan menggunakan jari. Pasien juga akhir-akhir ini menjadi lebih sering lelah, dan pucat. Pemeriksaan tanda vital dalam batas normal. Pemeriksaan regio anus tampak benjolan pada anus dilapisi mukosa eritem. Pemeriksaan labororium didapatkan nilai Hb 7gr/dL. Apakah tatalaksana yang tepat pada pasien ini?","","Herniorraphy","Sitz bath dengan kalsium permanganas","Nitroglisering topical 0.4%","Injeksi toksin botulinum pada sfingter ani","Hemoroidektomi","E"
"kedokteran","Komprehensif","","","pmb","Seorang laki-laki 40 tahun datang ke UGD karena post KLL 30 menit yang lalu. Pasien sempat pingsan kemudiaan sadar lagi. Setelah sampai ke UGD pasien pingsan lagi. Pemeriksaan fisik TD: 120/80 mmHg, Nadi 82x/m, RR 20x/m, suhu 37 C. pemeriksaan CT scan tampak gambaran sebagai berikut. Apa diagnosis yang tepat?","","Subdural hematoma","Epidural hematoma","Subarachnoid hematome","Intracerebral hematome","Commusio cerebri","B"
"kedokteran","Komprehensif","","","pmb","Laki-laki berusia 28 tahun datang ke poliklinik dengan keluhan penis ereksi terus-menerus. Keluhan sudah dirasakan pasien sejak 1 hari yang lalu. Pasien merasakan nyeri pada penisnya. Pasien memiliki Riwayat penyakit sickle cell anemia. Tidak didapatkan riwayat penggunaan obat-obatan sebelumnya. Pemeriksaan tanda vital dalam batas normal. Diagnosis yang paling tepat adalah?","","Priapismus high flow","Pirapismus low flow","Peyronie disease","Ruptur uretra","Balanitis","B"
"kedokteran","Komprehensif","","","pmb","Seorang Wanita 24thn datang ke IGD dengan keluhan nyeri perut kanan bawah. Keluhan dirasakan sejak 2 hari ini disertai demam, saat dibuat berjalan perut terasa semakin sakit, keluhan ini disertai dengan mual muntah. Nyeri awalnya berada terasa di ulu hati kemudian berpindah ke kanan bawah. Berapa skor Alvarado pada pasien?","","3","4","5","6","7","C"
"kedokteran","Komprehensif","","","pmb","Seorang perempuan berusia 29 tahun datang ke poliklinik dengan keluhan jerawat di wajah yang dirasakan sejak 2 bulan yang lalu. Pasien mengatakan jerawatnya muncul sejak pasien mengerjakan skripsi. Pasien sudah memakai berbagai macam krim yang di beli di toko online. Pemeriksaan fisik didapatkan komedo berjumlah 120, papul berjumlah 50, nodul berjumlah 5 dan kista berjumlah 2. Apakah diagnosis yang tepat pada pasien ?","","Erupsi acneiformis","Dermatitis perioral","Acne vulgaris ringan","Acne vulgaris sedang","Acne vulgaris berat","E"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 28 tahun datang dengan keluhan timbul bercak merah di badan dan tangan sejak 1 minggu yang lalu. Pasien mengatakan 1 bulan yang lalu memiliki luka tidak nyeri pada kemaluannya tetapi tidak berobat. Pasien sering berhubungan badan dengan PSK. Pemeriksaan fisik didapatkan macula eritema ukuran lentikuler, regular, multipel berbatas tegas di regio abdomen dan manus dextra sinistra. Apakah diagnosis yang tepat pada pasien ?","","Morbili","Roseola sifilitika","Eritroderma","Varisela","Herpes zoster","B"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 40 tahun dibawa dibawa ke IGD oleh keluarganya dengan keluhan kulit kemerahan dan melepuh hampir seluruh tubuh sejak 7 hari yang lalu. Pasien mengeluhkan adanya luka disekitar mulut dan kedua mata merah. Pasien memiliki Riwayat mengonsumsi asam mefenamat dan keluhan tersebut muncul. Pada pemeriksaan didapatkan adanya eritema dan erosi pada hampir seluruh bagian tubuh. Tanda nikolsky (+). Apakah diagnosis yang tepat pada pasien ?","","SJS","SJS-TEN","TEN","Eritroderma","Eritema multifomis","C"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 38 tahun datang ke poliklinik dengan keluhan gatal pada lengan bawah kanan sejak 1 minggu yang lalu. Pasien tidak pernah mengalami hal serupa dan Riwayat alergi disangkal. Riwayat penyakit lain disangkal. Dari pemeriksaan ditemukan plak eritema solter dengan tepi lesi aktif dan meninggi disertai dengan skuama. Apakah terapi yang tepat untuk pasien di atas?","","Ketokonazole 500 mg","Amoxicilin 500 mg","Griseovulvin 500 mg","Acyclovir 400 mg","Itrakonazole 300 mg","C"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 35 tahun datang ke poliklinik dengan keluhan luka yang nyeri di ujung kemaluan yang dirasakan sejak 1 bulan yang lalu. Pasien memiliki Riwayat berhubungan dengan PSK. Dari pemeriksaan ditemukan ulkus diameter 5 cm, lunak, dasar kotor dan tepi tidak rata. Dari hasil pemeriksaan gram terdapat bakteri gram negative berbentuk rantai. Apakah diagnosis pada pasien tersebut?","","Ulkus durum","Granuloma inguinal","Herpes genital","Limfogranuloma","Chancroid","E"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 27 tahun datang dengan keluhan kebotakan di beberapa daerah kepala yang dirasakan sejak 2 bulan yang lalu. Riwayat penyakit disangkal. Riwayat keluarga dengan keluhan kebotakan disangkal. Pada pemeriksaan didapatkan patch sewarna kulit kepala dengan diameter 5 cm, multiple, berbatas tegas, exclamation mark (+). Apakah diagnosis pada pasien tersebut?","","Alopesia androgenic","Telogen effluvium","Alopesia universal","Tinea capitis","Alopesia areata","E"
"kedokteran","Komprehensif","","","pmb","Seorang anak laki-laki berusia 8 tahun dibawa orangtuanya ke poliklinik dengan keluhan muncul bintil-bintil seluruh tubuh sejak 2 hari yang lalu. Awalnya bintil di sekitar perut lalu menyebar. Pasien mengatakan teman sekelesanya ada yang memiliki keluhan yang sama. Pemeriksaan tanda vital TD 120/70, HR 90x, RR 20x, suhu 37.9. BB 40 kg. Pada pemeriksaan didapatkan papul, vesikel dasar eritem, multipel di seluruh bagian tubuh, krusta (+). Apakah tatalaksana yang tepat pada pasien di atas?","","Acyclovir 5x800 mg","Acyclovir 4x400 mg","Valasiklovir 3x1000 mg","Famsiklovir 3x500 mg","Acyclovir 5x200 mg","B"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 40 tahun datang ke poliklinik dengan keluhan muncul bercak putih di lengan kanan sejak 1 bulan yang lalu. Keluhan bercak tersebut muncul tiba-tiba tanpa ada Riwayat luka sebelumnya. Pemeriksaan tanda vital dalam batas normal. Pada pemeriksaan fisik didapatkan hipopigmentasi berjumlah 1 buah pada lengan kanan dan hipoestesi (+). Apakah tatalaksana yang tepat pada pasien di atas?","","Dapson 100 mg + rifampisin 600 mg + klofazimin 300 mg hari ke 1 dan dapson 100 mg + klofazimin 50 mg hari ke 2-28 diulang selama 4-6 bulan","Dapson 100 mg + rifampisin 600 mg hari ke 1 dan dapson 100 mg hari ke 2-28 diulang selama 4-6 bulan","Dapson 100 mg + rifampisin 600 mg + klofazimin 300 mg hari ke 1 dan dapson 100 mg + klofazimin 50 mg hari ke 2-28 diulang selama 12-24 bulan","Dapson 100 mg + rifampisin 600 mg ke 1 dan dapson 100 mg hari ke 2-28 diulang selama 12-24 bulan","Dapson 50 mg + rifampisin 300 mg hari ke 1 dan dapson 50 mg hari ke 2-28 diulang selama 4-6 bulan","B"
"kedokteran","Komprehensif","","","pmb","Seorang anak berusia 5 tahun datang ke poliklinik dibawa orang tuanya dengan keluhan muncul bercak warna kuning seperti madu pada sekitar mulut. Keluhan ini baru pertama kali dirasakan. Riwayat alergi disangkal. Dilakukan pemeriksaan fisik didapatkan hasil sebagai berikut : Apakah diagnosis pada pasien di atas?","","Ektima","Impetigo bulosa","Candidiasis","Dermatitis perioral","Impetigo krustosa","E"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 25 tahun datang ke poliklinik dengan keluhan nyeri saat BAK. Keluhan yang dirasakan sejak 6 hari yang lalu. Pasien memiliki Riwayat berhubungan seksual dengan PSK dan tidak menggunakan kondom. Keluhan ini sudah pernah dirasakan tetapi pasien tidak berobat. Pemeriksaan fisik didapatkan TD 120/70, HR 80x, RR 20x, T 37,6. Pemeriksaan urogenital ditemukan OUE eritem dan terdapat sekret mukopurulen. Pemeriksaan gram didapatkan diplokokus gram negatif intrasel. Apakah diagnosis pada pasien ini?","","Ulkus mole","Ulkus durum","Uretritis gonore","Kondiloma akuminata","Herpes genitalis","C"
"kedokteran","Komprehensif","","","pmb","Seorang perempuan berusia 40 tahun datang ke puskesmas dengan keluhan luka nyeri pada genital sejak 1 hari yang lalu. Riwayat keluhan di tempat yang sama 4 bulan yang lalu. Pasien merupakan wanita tuna Susila. Pemeriksaan fisik didapatkan TD 110/80, HR 85, RR 18, T 37.4, pada vulva terdapat vesikel, berkelompok, dasar eritem, sebagian pecah menjadi ulkus tertutup krusta. Apakah diagnosis pada pasien ini?","","Ulkus mole","Ulkus durum","Uretritis gonore","Herpes genitalis primer","Herpes genitalis rekuren","E"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 24 tahun datang ke poliklinik dengan keluhan benjolan di anus yang muncul sejak 1 bulan yang lalu dan bertambah banyak. Pasien aktif berhubungan seksual melalui anus dan jarang menggunakan kondom. Pemeriksaan fisik didapatkan TD 110/70, HR 75, RR 20, T 36,6, pada pemeriksaan anoskopi ditemukan papul verukosa, sejumlah 3 buah di arah jam 11, 4, dan 7, sewarna dengan mukosa. Apakah terapi yang tepat pada pasien ini?","","Mupirosin cream 2% 2x1 ue selama 10 hari","Fototerapi NB-UVB","Betametasone diproprionate cream 0.05% 3x1 ue selama 10 hari","Bedah insisi","Larutan asam trikoloroasetat 80%","E"
"kedokteran","Komprehensif","","","pmb","Seorang laki-laki berusia 24 tahun datang ke Puskesmas dengan keluhan kulit kering dan terasa perih di sela-sela jari kedua tangan. Pekerjaan pasien sehari-hari sejak 3 tahun terakhir adalah mencampur pupuk tanaman di pabrik. Pada Pemeriksaan fisik, tampak eritema dan fisura pada regio manus dextra et sinistra. Pada patch test didapatkan lesi decrescrendo Penyebab dari penyakit ini adalah?","","Reaksi hipersensitivitas tipe I","Reaksi hipersensitivitas tipe II","Reaksi hipersensitivitas tipe III","Reaksi hipersensitivitas tipe IV","Bukan reaksi imunologi","E"
"kedokteran","Komprehensif","","","pmb","Seorang Wanita tahun, datang ke dokter mengeluh ada bercak kecoklatan menonjol dibagian pelipis kiri sejak 5 tahun lalu. Bercak sedikit gatal, namun tidak nyeri. Bercak dirasakan tidak bertambah besar. Pada hasil pemeriksaan PA didapatkan gambaran sel melanosit dalam jumlah banyak terakumulasi di area dermo-epidermal junction. Apakah diagnosis yang sesuai untuk kasus di atas?","","Lentigo solaris","Nevus pigmentosus","Keratosis seboroik","Melasma","Melanoma maligna","B"
"kedokteran","Komprehensif","","","pmb","Seorang anak perempuan berusia 9 tahun datang ke Puskesmas dengan Ayahnya dengan keluhan kemerahan dan muncul bintil-bintil pada sela jari tangannya sejak seminggu yang lalu. Pasien juga mengeluh gatal yang hebat pada malam hari. Ibu dan kakak pasien dirumah juga memiliki keluhan yang sama dengan pasien. Pemeriksaan dengan burrow ink didapatkan hasil (+). Apakah terapi yang dapat diberikan untuk pasien?","","Permetrin 1% 1x malam hari diulang 1 minggu kemudian","Permetrin 5% 1x malam hari diulang 1 minggu kemudian","Permetrin 5% 1x malam selama 3 hari berturut-turut","Salep 2-4 1x malam hari diulang 1 minggu kemudian","Gameksan 1% 1x malam selama 3 hari berturut-turut","B"
"kedokteran","Komprehensif","","","pmb","Seorang anak laki-laki berusia 10 tahun dibawa ke poliklinik oleh orang tuanya karena seluruh kulitnya berwarna putih yang dialami sejak lahir. Keluhan juga disertai dengan rambut yang berwarna putih. Dari anamnesis diketahui bahwa kakek pasien juga memiliki keluhan yang serupa. Pada pemeriksaan didapatkan hipopigmentasi pada kulit dan rambut serta iris berwarna biru. Apakah diagnosis pada pasien tersebut?","","Vitiligo generalisata","Eritrasma","Albinism","Hipopigmentasi pasca inflamasi","Tinea corporis","C"
"kedokteran","Komprehensif","","","pmb","Seorang laki-laki berusia 22 tahun datang ke poli dengan keluhan bercak kemerahan berbentuk seperti tetesan air, bercak bersisik tebal, apabila dilepas muncul titik-titik perdarahan. Bercak menyebar dari badan ke tangan. Sebelumnya pasien mengeluh adanya radang pada tenggorokannya. Apakah diagnosis yang tepat untuk kasus diatas?","","Psoriasis gutata","Pitiriasis rosea","Dermatitis seboroik","Herpes zoster","Tinea corporis","A"
"kedokteran","Komprehensif","","","pmb","Seorang laki-laki usia 42 tahun datang dengan keluhan gatal pada punggung kaki kiri. Pada pemeriksaan fisik ditemukan papul dan lesi yang berkelok-kelok serpiginosa. Pasien merupakan seorang petani dan tidak pernah memakai alas kaki saat bekerja. Apa stadium infektif pada kasus tersebut?","","Telur","Larva","Serkaria","Metaserkaria","Kista","B"
"kedokteran","Komprehensif","","","pmb","Seorang bayi laki-laki berusia 5 bulan dibawa ibunya ke puskesmas karena ada bercak kemerahan di sekitar anus dan genitalia bayi. sebelumnya sejak 3 hari yang lalu anak mengalami diare dan sudah mendapatkan terapi. Pada pemeriksaan fisik didapatkan TTV dalam batas normal. Status dermatologis dijumpai macula eritema di regio kelamin dan inguinal. Tidak dijumpai lesi satelit. Pemeriksaan KOH (-). Tatalaksana nonfarmakologis yang paling tepat adalah?","","Ganti popok tiap 4 – 6 jam dan berikan pelembab","Ganti popok tiap 3 – 4 jam dan berikan pelembab","Ganti popok dan berikan antibiotic topical pada lesi","Ganti popok dan berikan kortikosteroid topical pada lesi","Ganti popok dan berikan antifungal topical pada lesi","B"
"kedokteran","Komprehensif","","","pmb","Seorang laki-laki usia 60 tahun datang dibawa keluarganya karena keluhan jantung berdebar-debar sejak 3 jam yang lalu. Keluhan nyeri dada tidak dijumpai. Riwayat pingsan juga disangkal pasien. Pasien memiliki riwayat merokok dan DM yang tidak terkontrol. Pada pemeriksaan fisik dijumpai TD 70/40, HR 200, RR 22, T 36,9, SpO2 85%, ekstremitas teraba dingin. Pemeriksaan EKG dijumpai seperti berikut. Diagnosis yang sesuai untuk kasus diatas adalah?","","Ventrikular Takikardi","Ventrikular Fibrilasi","Atrial Fluter","Atrial Fibrilasi","Supraventrikular Takikardi","A"
"kedokteran","Komprehensif","","","pmb","Seorang anak laki-laki, usia 10 tahun dibawa ke Rumah Sakit oleh orang tuanya dengan keluhan demam naik turun sejak 5 hari yang lalu dan disertai dengan nyeri sendi yang berpindah-pindah. Ibu pasien mengaku bahwa sekitar 1 bulan yang lalu pasien mengalami radang tenggorokan. Pemeriksaan fisik dijumpai BB 28kg, HR 108, RR 22, T 38,9. Pada pemeriksaan fisik ditemukan eritema dan nodul subkutan pada daerah sekitar persendian. Pemeriksaan ASTO dijumpai (+). Apakah diagnosis yang tepat pada kasus di atas?","","Endokarditis Infektif","Miokarditis","Perikarditis","Demam rematik","Penyakit jantung rematik","D"
"kedokteran","Komprehensif","","","pmb","Seorang bayi laki-laki usia 4 bulan dibawa oleh ibunya ke poli karena BB anak tidak bertambah. Menurut pengakuan ibunya, pasien tidak kuat menyusu dan tampak sering bernapas dengan cepat. Keluhan membiru disangkal ibu pasien. Riwayat demam tidak dijumpai. Pada pemeriksaan fisik dijumpai murmur pansistolik ICS 3-4 sternal kiri. Diagnosis yang tepat untuk kasus diatas adalah","","ASD","VSD","PDA","TOF","TGA","B"
"kedokteran","Komprehensif","","","pmb","Seorang pria usia 58 tahun datang dengan keluhan nyeri dada kiri yang dialami sejak 1 jam yang lalu secara tiba-tiba saat aktivitas. Keluhan dirasakan seperti tertimpa beban berat. Keluhan menjalar hingga ke tangan kiri dan bagian rahang. Keluhan tidak membaik dengan istirahat. Keluhan disertai dengan keringat dingin. Pada pemeriksaan fisik dijumpai TD 140/80, HR 88, RR 20, T 36,8, SpO2 80%. Pemeriksaan ekg dijumpai ST elevasi pada lead V1 dan V2. Pemeriksaan enzim jantung dijumpai meningkat. Tatalaksana awal yang tepat adalah","","Pemberian morfin","Aspirin LD 160mg","ISDN 5 mg SL","Oksigen 4 lpm","Clopidogrel 300mg","D"
"kedokteran","Komprehensif","","","pmb","Seorang pria usia 65 tahun datang ke IGD dengan keluhan sesak napas memberat sejak 1 hari ini. Keluhan bertambah berat saat aktivitas dan tidak membaik dengan istirahat. Pasien selama ini memiliki riwayat penyakit paru obstruksi kronis. Pada pemeriksaan fisik dijumpai TD 140/80, HR 88, RR 28, T 36,6, tampak jvp meningkat, S3 gallop, edema pretibial (+). Pada pemeriksaan ekg dijumpai gelombang P pulmonal. Diagnosis sesuai dengan kasus diatas adalah","","Kor pulmoal kronik","Gagal jantung kiri","PPOK eksaserbasi akut","Asma eksaserbasi akut","Pneumonia","A"
"kedokteran","Komprehensif","","","pmb","Seorang perempua usia 28 tahun datang dibawa warga setempat ke IGD setelah mngalami kecelakaan. Tampak luka robek pada bagian paha pasien dengan perdarahan aktif. Saat ini pasien tampak lemah dan teraba dingin pada ekstremitas pasien. Pada pemeriksaan tanda vital dijumpai TD 70/50, HR 125, RR 28, T 35,8. Diagnosis yang tepat untuk kasus diatas adalah","","Syok hipovolemik","Syok kardiogenik","Syok neurogenik","Syok sepsis","Syok obstruktif","A"
